"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E740","2019-09-10 00:00:00","27.000","185.000","0.400","26.100","0.970","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","22.800",""
"C0R650","2019-09-10 00:00:00","29.000","28.000","0.900","26.900","0.990","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.700",""
"C0S750","2019-09-10 00:00:00","2280.000","0.000","0.000","13.000","0.990","774.000","-99.000","0.000","-99.000","-99.000","-99.000","19.900","","8.500",""
"C0I370","2019-09-10 00:00:00","671.000","146.000","0.300","23.500","0.880","935.900","-99.000","0.000","-99.000","-99.000","-99.000","29.300","","19.400",""
"C0K400","2019-09-10 00:00:00","65.000","205.000","2.200","27.700","0.990","1001.400","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.000",""
"C0A650","2019-09-10 00:00:00","287.000","0.000","0.000","22.300","0.990","976.500","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","19.000",""
"C0U750","2019-09-10 00:00:00","398.000","183.000","4.400","23.400","1.000","964.900","-99.000","0.000","-99.000","-99.000","-99.000","27.000","","21.200",""
"C0M730","2019-09-10 00:00:00","40.000","195.000","0.700","27.700","0.990","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","36.400","","25.400",""
"C0Z061","2019-09-10 00:00:00","174.000","124.000","0.500","24.000","0.950","993.300","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","22.300",""
"C0M670","2019-09-10 00:00:00","43.000","194.000","1.500","27.900","0.860","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","26.100",""
"C0I530","2019-09-10 00:00:00","3014.000","243.000","2.800","9.600","0.620","702.500","-99.000","0.000","-99.000","-99.000","-99.000","15.200","","6.400",""
